id,name,url,project_id,centrality
65,charm-openvswitch-odl,http://github.com/openstack/charm-openvswitch-odl,32,2
66,octavia,http://github.com/openstack/octavia,31,2
67,ara-web,http://github.com/openstack/ara-web,76,3
68,charm-hacluster,http://github.com/openstack/charm-hacluster,32,2
69,charm-percona-cluster,http://github.com/openstack/charm-percona-cluster,32,2
70,openstack-ansible-os_heat,http://github.com/openstack/openstack-ansible-os_heat,35,2
71,heat-translator,http://github.com/openstack/heat-translator,13,2
72,python-vitrageclient,http://github.com/openstack/python-vitrageclient,59,2
73,solum,http://github.com/openstack/solum,51,2
74,charm-ceph-proxy,http://github.com/openstack/charm-ceph-proxy,32,2
75,charm-interface-service-control,http://github.com/openstack/charm-interface-service-control,32,2
76,stx-distcloud,http://github.com/openstack/stx-distcloud,210,3
77,osprofiler,http://github.com/openstack/osprofiler,38,2
78,networking-opencontrail,http://github.com/openstack/networking-opencontrail,29,3
79,requirements,http://github.com/openstack/requirements,47,2
80,vmware-nsxlib,http://github.com/openstack/vmware-nsxlib,217,3
81,swift,http://github.com/openstack/swift,53,2
82,openstack-manuals,http://github.com/openstack/openstack-manuals,9,2
83,nova-specs,http://github.com/openstack/nova-specs,30,2
84,python-zaqarclient,http://github.com/openstack/python-zaqarclient,62,2
85,networking-sfc,http://github.com/openstack/networking-sfc,29,2
86,zaqar,http://github.com/openstack/zaqar,62,2
87,networking-bgpvpn,http://github.com/openstack/networking-bgpvpn,29,2
88,networking-bagpipe,http://github.com/openstack/networking-bagpipe,29,2
89,networking-ovn,http://github.com/openstack/networking-ovn,29,2
90,operations-guide,http://github.com/openstack/operations-guide,9,3
91,charm-guide,http://github.com/openstack/charm-guide,32,2
92,charm-deployment-guide,http://github.com/openstack/charm-deployment-guide,32,2
93,airship-treasuremap,http://github.com/openstack/airship-treasuremap,200,3
94,octavia-dashboard,http://github.com/openstack/octavia-dashboard,31,2
95,tacker,http://github.com/openstack/tacker,54,2
96,manila-tempest-plugin,http://github.com/openstack/manila-tempest-plugin,24,2
97,murano-dashboard,http://github.com/openstack/murano-dashboard,28,2
98,watcher-tempest-plugin,http://github.com/openstack/watcher-tempest-plugin,60,2
99,stx-config,http://github.com/openstack/stx-config,210,3
100,congress-tempest-plugin,http://github.com/openstack/congress-tempest-plugin,6,2
101,stx-tools,http://github.com/openstack/stx-tools,210,3
102,python-watcherclient,http://github.com/openstack/python-watcherclient,60,2
103,os-brick,http://github.com/openstack/os-brick,4,2
104,barbican,http://github.com/openstack/barbican,2,2
105,zun,http://github.com/openstack/zun,63,2
106,openstack-ansible-os_glance,http://github.com/openstack/openstack-ansible-os_glance,35,2
107,sushy-tools,http://github.com/openstack/sushy-tools,17,2
108,ironic-specs,http://github.com/openstack/ironic-specs,17,2
109,group-based-policy,http://github.com/openstack/group-based-policy,215,3
110,airship-maas,http://github.com/openstack/airship-maas,200,3
111,solum-tempest-plugin,http://github.com/openstack/solum-tempest-plugin,51,2
112,stx-integ,http://github.com/openstack/stx-integ,210,3
113,openstack-ansible-os_nova,http://github.com/openstack/openstack-ansible-os_nova,35,2
114,python-zunclient,http://github.com/openstack/python-zunclient,63,2
115,stx-nfv,http://github.com/openstack/stx-nfv,210,3
116,zaqar-specs,http://github.com/openstack/zaqar-specs,62,2
117,zun-tempest-plugin,http://github.com/openstack/zun-tempest-plugin,63,2
118,zaqar-tempest-plugin,http://github.com/openstack/zaqar-tempest-plugin,62,2
119,blazar-dashboard,http://github.com/openstack/blazar-dashboard,3,2
120,vmware-nsx-tempest-plugin,http://github.com/openstack/vmware-nsx-tempest-plugin,217,3
121,vitrage-tempest-plugin,http://github.com/openstack/vitrage-tempest-plugin,59,2
